Unique ID,Registered Product Name,Date of Registration,Award Designation,Country of Origin,Notes,Product Specification
W0001,Darnibole,31/12/20,PDO,United Kingdom of Great Britain and Northern Ireland,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/624476/protected-food-name-darnibole-wine.pdf
W0002,English,31/12/20,PDO,United Kingdom of Great Britain and Northern Ireland,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/271310/pfn-english-wine-pdo.pdf
W0003,Welsh,31/12/20,PDO,United Kingdom of Great Britain and Northern Ireland,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/271312/pfn-welsh-wine-pdo.pdf
W0004,English Regional,31/12/20,PGI,United Kingdom of Great Britain and Northern Ireland,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/271309/pfn-english-regional-wine-pgi.pdf
W0005,Welsh Regional,31/12/20,PGI,United Kingdom of Great Britain and Northern Ireland,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/271311/pfnwelsh-regional-wine-pgi.pdf
