Unique ID,Registered Product Name,Category of Product,Date of application to Sectraty of State,Date of Registration,Country of Origin,Notes,Product Technical File
S0004,Scotch Whisky,2. Whisky or Whiskey,N/A,31/12/20,United Kingdom of Great Britain and Northern Ireland,"Established GI from previous regulation 1576/1989, technical file submitted in accordance with regulation 110/2008, scrutiny formally completed by EC.",https://www.gov.uk/government/publications/protected-food-name-scotch-whisky-pgi
S0005,Somerset Cider Brandy,10. Cider spirit and perry spirit,N/A,31/12/20,United Kingdom of Great Britain and Northern Ireland,Registered in Annex III to Regulation (EC) 110/2008 following the Commission Regulation (EU) N� 164/2012 of 24 February 2012,https://www.gov.uk/government/publications/protected-food-name-somerset-cider-brandy-pgi
