Unique ID,Registered Product Name,Class of Product,Date of Registration,Award Designation,Country of Origin,Notes,Product Specification
F0075,Traditional Bramley apple pie filling,"1.6. Fruit, vegetables and cereals fresh or processed",31/12/20,TSG,United Kingdom of Great Britain and Northern Ireland,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/453486/trad-bramley-apple-pie-filling-tsg.pdf
F0076,Traditional farmfresh turkey,1.1. Fresh meat (and offal),31/12/20,TSG,United Kingdom of Great Britain and Northern Ireland,Application to make amendments has been made,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/271269/tsg-traditional-farmfresh-turkey.pdf
F0077,Traditionally farmed Gloucestershire Old Spots pork,1.1. Fresh meat (and offal),31/12/20,TSG,United Kingdom of Great Britain and Northern Ireland,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/271319/pfn-traditionally-farmed-gloucs-old-spots-pork.pdf
F0078,Traditionally reared pedigree Welsh pork,1.1. Fresh meat (and offal),31/12/20,TSG,United Kingdom of Great Britain and Northern Ireland,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/526114/protected-food-name-pedigree-welsh-pork.pdf

