Unqiue ID,Traditional Term Name,Traditional Term Type,Date of Registration,Country of Origin,Summary of Definition,Language,Award Designation,Category of Grapevine Product
,Quality (sparkling) wine,In place of PDO/PGI,31/12/20,United Kingdom,"Wine or sparkling wine that is made in England and Wales in accordance with the rules set out in national legislation in those countries. Wines marketed as �quality wine� have undergone an organoleptic and analytical assessment. Its specific nature and character will be derived in part from the area of production, the quality of the grapes used and the skill of the producer and winemaker.",English,PDO,"Wine, Sparkling wine"
,Regional (sparkling) wine,In place of PDO/PGI,31/12/20,United Kingdom,"Wine or sparkling wine that is made in England and Wales in accordance with the rules set out in national legislation in those countries. �Regional wine� will have undergone an organoleptic and analytical assessment. Its nature and character will be derived in part from the area of production, the grapes that are used and the skill of the producer and winemaker.",English,PGI,"Wine, Sparkling wine"
